row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_mass_norm,pl_orbper_norm,st_teff_norm
1,11 Com b,Radial Velocity,1,326.03,0.32,-0.32,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,4.74,V (Johnson),4742.0,100.0,-100.0,2.7,0.3,-0.3,19.0,2.0,-2.0,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
2,11 UMi b,Radial Velocity,1,516.22,3.25,-3.25,15h17m05.89s,229.27453599999998,+71d49m26.0s,71.823898,119.47,6.22,-6.95,5.016,V (Johnson),4340.0,70.0,-70.0,1.8,0.25,-0.25,24.08,1.84,-1.84,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
3,14 And b,Radial Velocity,1,185.84,0.23,-0.23,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,5.813,V (Johnson),4813.0,20.0,-20.0,2.2,0.1,-0.2,11.0,1.0,-1.0,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
4,14 Her b,Radial Velocity,1,1773.4,2.5,-2.5,16h10m24.31s,242.60130299999997,+43d49m03.5s,43.817646,18.15,0.19,-0.2,6.61,V (Johnson),5311.0,87.0,-87.0,0.9,0.05,-0.05,10.16666667,0.816,-0.816,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
5,16 Cyg B b,Radial Velocity,1,798.5,1.0,-1.0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,6.25,V (Johnson),5674.0,52.5,-52.5,0.99,0.1,-0.066666667,9.333333332999999,0.632,-0.632,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
6,18 Del b,Radial Velocity,1,993.3,3.2,-3.2,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,3.56,-3.94,6.313666667000001,V (Johnson),4979.0,18.0,-18.0,2.3,0.15,-0.083333333,8.5,0.44799999999999995,-0.44799999999999995,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
7,1RXS J160929.1-210524 b,Imaging,1,723.05,2.65,-3.85,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.0,14.0,-14.0,6.377333332999999,V (Johnson),4060.0,300.0,-200.0,0.85,0.2,-0.1,6.7,0.264,-0.264,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
8,24 Sex b,Radial Velocity,2,452.8,2.1,-4.5,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,6.441,V (Johnson),5098.0,44.0,-44.0,1.54,0.08,-0.08,4.9,0.08,-0.08,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
9,24 Sex c,Radial Velocity,2,883.0,32.4,-13.8,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,6.441,V (Johnson),5098.0,44.0,-44.0,1.54,0.08,-0.08,4.9,0.08,-0.08,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
10,2MASS J01225093-2439505 b,Imaging,1,789.6,26.32,-11.44,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.0,4.0,-4.0,14.24,V (Johnson),3530.0,50.0,-50.0,0.4,0.05,-0.05,2.59,0.045,-0.045,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
11,2MASS J02192210-3925225 b,Imaging,1,696.2,20.24,-9.08,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928000000006,39.4,2.6,-2.6,16.21,V (Johnson),3064.0,76.0,-76.0,0.11,0.01,-0.01,0.28,0.01,-0.01,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
12,2MASS J04414489+2301513 b,Imaging,1,602.8,14.16,-6.72,04h41m44.90s,70.437073,+23d01m51.4s,23.030941000000002,140.0,1.85,-1.85,18.18,V (Johnson),2873.0,77.0,-77.0,0.02,0.016666667,-0.016666667,0.24,0.02,-0.0175,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
13,2MASS J12073346-3932539 b,Imaging,1,509.4,8.08,-4.36,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,1.1,-1.1,20.15,V (Johnson),2682.0,78.0,-78.0,0.02,0.023333332999999998,-0.023333332999999998,0.2,0.03,-0.025,"StandardScaler(copy=array([2.7, 1.8, 2.2, ..., 1.3, 1.3, 2.2]), with_mean=True,
               with_std=True)","StandardScaler(copy=array([ 326.03,  516.22,  185.84, ..., 1276.46, 3848.86,  136.75]),
               with_mean=True, with_std=True)","StandardScaler(copy=array([4742. , 4340. , 4813. , ..., 4623.2, 4701.6, 4780. ]),
               with_mean=True, with_std=True)"
