row_id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1,11 Com,b,Radial Velocity,1,4.46E-05,0.32,-0.32,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,0.012641245,9.61,-11.63,0.201554404,V (Johnson),4742,100,-100,0.690721649,0.3,-0.3,19,2,-2
2,11 UMi,b,Radial Velocity,1,7.07E-05,3.25,-3.25,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,0.013682814,6.22,-6.95,0.215854922,V (Johnson),4340,70,-70,0.458762887,0.25,-0.25,24.08,1.84,-1.84
3,14 And,b,Radial Velocity,1,2.54E-05,0.23,-0.23,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,0.008612664,3.93,-4.38,0.257150259,V (Johnson),4813,20,-20,0.56185567,0.1,-0.2,11,1,-1
4,14 Her,b,Radial Velocity,1,0.000242919,2.5,-2.5,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,0.001758311,0.19,-0.2,0.298445596,V (Johnson),5311,87,-87,0.226804124,0.05,-0.05,10.16666667,0.816,-0.816
5,16 Cyg B,b,Radial Velocity,1,0.000109371,1,-1,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,0.002141985,0.23,-0.23,0.279792746,V (Johnson),5674,52.5,-52.5,0.25,0.1,-0.066666667,9.333333333,0.632,-0.632
6,18 Del,b,Radial Velocity,1,0.000136056,3.2,-3.2,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,0.008225459,3.56,-3.94,0.283091537,V (Johnson),4979,18,-18,0.587628866,0.15,-0.083333333,8.5,0.448,-0.448
7,1RXS J160929.1-210524,b,Imaging,1,9.90E-05,2.65,-3.85,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,0.016687478,14,-14,0.286390328,V (Johnson),4060,300,-200,0.213917526,0.2,-0.1,6.7,0.264,-0.264
8,24 Sex,b,Radial Velocity,2,6.20E-05,2.1,-4.5,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,0.008424358,4.57,-5.21,0.289689119,V (Johnson),5098,44,-44,0.391752577,0.08,-0.08,4.9,0.08,-0.08
9,24 Sex,c,Radial Velocity,2,0.000120946,32.4,-13.8,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,0.008424358,4.57,-5.21,0.289689119,V (Johnson),5098,44,-44,0.391752577,0.08,-0.08,4.9,0.08,-0.08
10,2MASS J01225093-2439505,b,Imaging,1,0.000108152,26.32,-11.44,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,0.003859104,4,-4,0.693782383,V (Johnson),3530,50,-50,0.097938144,0.05,-0.05,2.59,0.045,-0.045
11,2MASS J02192210-3925225,b,Imaging,1,9.54E-05,20.24,-9.08,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,0.004259256,2.6,-2.6,0.795854922,V (Johnson),3064,76,-76,0.023195876,0.01,-0.01,0.28,0.01,-0.01
