,row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
0,1,11 Com b,Radial Velocity,1,4.464921887122808e-05,0.32,-0.32,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,0.012641244517047026,9.61,-11.63,0.20155440414507772,V (Johnson),4742.0,100.0,-100.0,0.6907216494845362,0.3,-0.3,19.0,2.0,-2.0
1,2,11 UMi b,Radial Velocity,1,7.070264385248968e-05,3.25,-3.25,15h17m05.89s,229.27453599999998,+71d49m26.0s,71.823898,0.01368281433341297,6.22,-6.95,0.21585492227979272,V (Johnson),4340.0,70.0,-70.0,0.45876288659793824,0.25,-0.25,24.08,1.84,-1.84
2,3,14 And b,Radial Velocity,1,2.544510904356595e-05,0.23,-0.23,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,0.008612664312051963,3.93,-4.38,0.2571502590673575,V (Johnson),4813.0,20.0,-20.0,0.5618556701030929,0.1,-0.2,11.0,1.0,-1.0
3,4,14 Her b,Radial Velocity,1,0.00024291908434853277,2.5,-2.5,16h10m24.31s,242.60130299999997,+43d49m03.5s,43.817646,0.001758311079831324,0.19,-0.2,0.2984455958549223,V (Johnson),5311.0,87.0,-87.0,0.22680412371134023,0.05,-0.05,10.16666667,0.816,-0.816
4,5,16 Cyg B b,Radial Velocity,1,0.0001093711374836507,1.0,-1.0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,0.0021419853850689493,0.23,-0.23,0.27979274611398963,V (Johnson),5674.0,52.5,-52.5,0.25000000000000006,0.1,-0.066666667,9.333333332999999,0.632,-0.632
5,6,18 Del b,Radial Velocity,1,0.00013605606932207416,3.2,-3.2,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,0.008225459261674114,3.56,-3.94,0.28309153715025914,V (Johnson),4979.0,18.0,-18.0,0.5876288659793815,0.15,-0.083333333,8.5,0.44799999999999995,-0.44799999999999995
6,7,1RXS J160929.1-210524 b,Imaging,1,9.903552091686913e-05,2.65,-3.85,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,0.016687478447743206,14.0,-14.0,0.286390328134715,V (Johnson),4060.0,300.0,-200.0,0.2139175257731959,0.2,-0.1,6.7,0.264,-0.264
7,8,24 Sex b,Radial Velocity,2,6.201497251166413e-05,2.1,-4.5,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,0.008424357904573375,4.57,-5.21,0.28968911917098444,V (Johnson),5098.0,44.0,-44.0,0.3917525773195877,0.08,-0.08,4.9,0.08,-0.08
8,9,24 Sex c,Radial Velocity,2,0.00012094648009323378,32.4,-13.8,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,0.008424357904573375,4.57,-5.21,0.28968911917098444,V (Johnson),5098.0,44.0,-44.0,0.3917525773195877,0.08,-0.08,4.9,0.08,-0.08
9,10,2MASS J01225093-2439505 b,Imaging,1,0.00010815195938631001,26.32,-11.44,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,0.0038591044382643323,4.0,-4.0,0.6937823834196891,V (Johnson),3530.0,50.0,-50.0,0.09793814432989693,0.05,-0.05,2.59,0.045,-0.045
10,11,2MASS J02192210-3925225 b,Imaging,1,9.535743867938625e-05,20.24,-9.08,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928000000006,0.004259255554156334,2.6,-2.6,0.7958549222797927,V (Johnson),3064.0,76.0,-76.0,0.023195876288659795,0.01,-0.01,0.28,0.01,-0.01
11,12,2MASS J04414489+2301513 b,Imaging,1,8.256291797246246e-05,14.16,-6.72,04h41m44.90s,70.437073,+23d01m51.4s,23.030941000000002,0.016099020924372615,1.85,-1.85,0.8979274611398963,V (Johnson),2873.0,77.0,-77.0,0.0,0.016666667,-0.016666667,0.24,0.02,-0.0175
12,13,2MASS J12073346-3932539 b,Imaging,1,6.97683972655387e-05,8.08,-4.36,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,0.005789245114919869,1.1,-1.1,1.0,V (Johnson),2682.0,78.0,-78.0,0.0,0.023333332999999998,-0.023333332999999998,0.2,0.03,-0.025
13,14,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,5.697387655861493e-05,2.0,-2.0,19h38m32.61s,294.63586499999997,+46d03m59.1s,46.066418,0.0041768715008844515,5.55,-5.55,0.59139896373057,Kepler-band,2491.0,79.0,-79.0,0.11855670103092784,0.03,-0.03,0.16,0.04,-0.0325
14,15,2MASS J21402931+1625183 A b,Imaging,1,0.0010049875869683146,1934.5,-584.0,21h40m29.32s,325.122159,+16d25m18.3s,16.421758999999998,0.0025644978868490332,10.0,-10.0,0.4592055267875648,Kepler-band,2300.0,80.0,-80.0,0.015463917525773198,0.06,-0.06,0.12,0.05,-0.04
15,16,30 Ari B b,Radial Velocity,1,4.5891684640091024e-05,2.5,-2.5,02h36m57.74s,39.240584999999996,+24d38m53.0s,24.648064,0.004262786299296557,1.64,-1.79,0.3270120897927461,Kepler-band,6300.0,60.0,-60.0,0.29381443298969073,0.04,-0.04,1.13,0.03,-0.03
16,17,4 UMa b,Radial Velocity,1,3.687798589795415e-05,1.96,-1.96,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,0.008731532731772823,4.03,-4.5,0.19481865284974093,V (Johnson),4415.0,70.0,-70.0,0.31185567010309284,0.15,-0.15,18.11,1.47,-1.47
17,18,42 Dra b,Radial Velocity,1,6.561771228245744e-05,6.2,-6.2,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,0.01107123984469429,4.34,-4.76,0.20569948186528497,V (Johnson),4200.0,70.0,-70.0,0.24742268041237117,0.05,-0.05,22.03,1.0,-1.0
18,19,47 UMa b,Radial Velocity,3,0.00014765880919227162,2.0,-2.0,10h59m27.97s,164.86656200000002,+40d25m48.9s,40.430256,0.0012793066558076638,0.13,-0.13,0.2176165803108808,V (Johnson),5892.0,70.0,-70.0,0.26030927835051554,0.05,-0.05,1.23,0.835,-0.835
19,20,47 UMa c,Radial Velocity,3,0.0003275218251257931,100.0,-87.0,10h59m27.97s,164.86656200000002,+40d25m48.9s,40.430256,0.0012793066558076638,0.13,-0.13,0.2176165803108808,V (Johnson),5892.0,70.0,-70.0,0.26030927835051554,0.05,-0.05,1.23,0.67,-0.67
20,21,47 UMa d,Radial Velocity,3,0.001918069790094657,4018.0,-5095.0,10h59m27.97s,164.86656200000002,+40d25m48.9s,40.430256,0.0012793066558076638,0.13,-0.13,0.2176165803108808,V (Johnson),5892.0,70.0,-70.0,0.26030927835051554,0.05,-0.05,1.23,0.505,-0.505
21,22,51 Eri b,Imaging,1,0.0009593184621542767,2009.000018,-2547.500018,04h37m36.13s,69.40055100000001,-02d28m24.8s,-2.473548,0.0030823405074151527,0.3,-0.3,0.22694300518134716,V (Johnson),5842.5,70.0,-70.0,0.4458762886597939,0.05,-0.05,1.215,0.34,-0.34
22,23,51 Peg b,Radial Velocity,1,5.671340769099491e-07,3.6e-05,-3.6e-05,22h57m27.98s,344.366577,+20d46m07.8s,20.768832999999997,0.0014299517817905347,0.18,-0.18,0.24093264248704663,V (Johnson),5793.0,70.0,-70.0,0.28350515463917536,0.06,-0.06,1.2,0.175,-0.175
