,rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,rowupdate
0,1,11 Com,b,Radial Velocity,1,326.03,0.32,-0.32,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,4.74,V (Johnson),4742.0,100.0,-100.0,2.7,0.3,-0.3,19.0,2.0,-2.0,2014-05-14
1,2,11 UMi,b,Radial Velocity,1,516.22,3.25,-3.25,15h17m05.89s,229.27453599999998,+71d49m26.0s,71.823898,119.47,6.22,-6.95,5.016,V (Johnson),4340.0,70.0,-70.0,1.8,0.25,-0.25,24.08,1.84,-1.84,2014-05-14
7,8,24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,6.441,V (Johnson),5098.0,44.0,-44.0,1.54,0.08,-0.08,4.9,0.08,-0.08,2014-05-14
8,9,24 Sex,c,Radial Velocity,2,883.0,32.4,-13.8,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,6.441,V (Johnson),5098.0,44.0,-44.0,1.54,0.08,-0.08,4.9,0.08,-0.08,2014-05-14
16,17,4 UMa,b,Radial Velocity,1,269.3,1.96,-1.96,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.03,-4.5,4.61,V (Johnson),4415.0,70.0,-70.0,1.23,0.15,-0.15,18.11,1.47,-1.47,2014-05-14
17,18,42 Dra,b,Radial Velocity,1,479.1,6.2,-6.2,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,4.82,V (Johnson),4200.0,70.0,-70.0,0.98,0.05,-0.05,22.03,1.0,-1.0,2014-05-14
23,24,55 Cnc,b,Radial Velocity,5,14.65152,0.00015,-0.00015,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196.0,24.0,-24.0,0.91,0.01,-0.01,0.94,0.01,-0.01,2014-10-29
24,25,55 Cnc,c,Radial Velocity,5,44.4175,0.0073,-0.0073,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196.0,24.0,-24.0,0.91,0.01,-0.01,0.94,0.01,-0.01,2014-10-29
25,26,55 Cnc,d,Radial Velocity,5,4825.0,39.0,-39.0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196.0,24.0,-24.0,0.91,0.01,-0.01,0.94,0.01,-0.01,2014-10-29
26,27,55 Cnc,e,Radial Velocity,5,0.736539,7e-06,-7e-06,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196.0,24.0,-24.0,0.91,0.01,-0.01,0.94,0.01,-0.01,2016-07-07
